College,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,Undergrad Population,Average Cost,ACT Median,SAT Average,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry,LATITUDE,LONGITUDE
California State University-Chico,3,4,Public,Far West,Small City,0.71609999999999996,15106,22926,22,1014,0.52549999999999997,1.9E-2,0.23,5.79E-2,6.1000000000000004E-3,1.4E-3,4.87E-2,3.3000000000000002E-2,6.5500000000000003E-2,6800,8370,0.52810000000000001,0.38929999999999998,0.5605,0.86650000000000005,0.1358,7.6,14889.5,16500,11596,0.87000000499999997,0.670000017,22.290000920000001,58551.47,37864,9.6300001139999996,414,3594,45900,41100,39.728003,-121.846333
University of Massachusetts-Boston,3,4,Public,New England,Large City,0.71409999999999996,11786,19763,0,1015,0.41570000000000001,0.15540000000000001,0.1198,0.1201,1.4E-3,2.9999999999999997E-4,2.4899999999999999E-2,9.6799999999999997E-2,0.26679999999999998,12405,10100,0.5202,0.3831,0.43580000000000002,0.77470000000000006,0.33350000000000002,8.6,16362,0,16357,0.88999998599999997,0.60000002399999997,24.06999969,47234.62,33287,9.0100002289999992,323,2298,46000,42400,42.31433173,-71.03981377
Old Dominion University,3,4,Public,Southeast,Mid-size City,0.76790000000000003,19483,20531,21,1016,0.52070000000000005,0.25879999999999997,6.6199999999999995E-2,4.4299999999999999E-2,4.3E-3,4.7999999999999996E-3,5.5100000000000003E-2,1.23E-2,0.22750000000000001,8097,8729,0.96630000000000005,0.33950000000000002,0.51170000000000004,0.79559999999999997,0.26579999999999998,6.8,18000,23867,14250,0.939999998,0.540000021,23.120000839999999,60966.47,48850,7.5999999049999998,390,3899,42800,39200,36.88491912,-76.30965259
University of Akron Main Campus,3,4,Public,Great Lakes,Mid-size City,0.96489999999999998,19022,21338,22,1016,0.74299999999999999,0.1394,2.1399999999999999E-2,2.1299999999999999E-2,2.2000000000000001E-3,1.1999999999999999E-3,2.8500000000000001E-2,1.41E-2,0.1875,8567,9209,0.48449999999999999,0.41489999999999999,0.41660000000000003,0.66359999999999997,0.20880000000000001,13.5,15000,26812,10261.5,0.93000000699999996,0.62000000499999997,22.920000080000001,53437.74,42489,8.1199998860000004,748,5110,35200,31800,41.077768,-81.510328
California State University-Fullerton,3,4,Public,Far West,Large Suburb,0.45789999999999997,33000,16663,22,1021,0.25559999999999999,2.2200000000000001E-2,0.375,0.2165,2E-3,2.7000000000000001E-3,4.0800000000000003E-2,4.4499999999999998E-2,0.1933,7685,8521,0.4622,0.40610000000000002,0.53469999999999995,0.88529999999999998,0.1981,5.6,12900.5,14718,10224,0.709999979,0.689999998,22.600000380000001,46741.81,31500,9.4099998469999999,795,6364,43800,40500,33.88326053,-117.8856586
Florida Gulf Coast University,3,4,Public,Southeast,Large Suburb,0.65790000000000004,12795,18097,22,1024,0.67059999999999997,7.17E-2,0.18729999999999999,1.67E-2,2.3E-3,1E-3,2.29E-2,1.61E-2,0.20810000000000001,6606,7382,0.68169999999999997,0.34670000000000001,0.44159999999999999,0.76629999999999998,0.13519999999999999,6.3,11625,18500,8250,0.83999997400000004,0.52999997099999996,22.43000031,62264.97,46981,6.7300000190000002,138,1313,39300,37600,26.46433814,-81.77423473
Northern Kentucky University,3,4,Public,Southeast,Large Suburb,0.46700000000000003,11976,14603,22,1024,0.82010000000000005,6.88E-2,2.4400000000000002E-2,9.4000000000000004E-3,3.2000000000000002E-3,1.2999999999999999E-3,1.6899999999999998E-2,3.8199999999999998E-2,0.19120000000000001,7303,6780,0.98870000000000002,0.33679999999999999,0.37919999999999998,0.6744,0.24279999999999999,9.9,15000,24458.5,9500,0.91000002599999996,0.52999997099999996,22.489999770000001,62838.79,53630,6.9099998469999999,321,3048,35700,32800,39.029221,-84.465959
East Tennessee State University,3,4,Public,Southeast,Small City,0.8649,11399,22485,22,1026,0.84950000000000003,6.0100000000000001E-2,1.9900000000000001E-2,1.18E-2,3.3E-3,8.9999999999999998E-4,2.4199999999999999E-2,2.29E-2,0.15060000000000001,12462,6711,0.69489999999999996,0.43669999999999998,0.41289999999999999,0.66190000000000004,0.24410000000000001,12.4,14250,20259,10500,0.86000001400000003,0.64999997600000003,23.030000690000001,49111.05,36276,10.489999770000001,399,2596,35200,30900,36.30164346,-82.36695399
Central Michigan University,3,4,Public,Great Lakes,Distant Town,0.63039999999999996,20070,21523,22,1029,0.79710000000000003,7.4399999999999994E-2,2.9899999999999999E-2,9.2999999999999992E-3,6.8999999999999999E-3,5.0000000000000001E-4,1.8800000000000001E-2,1.35E-2,0.12280000000000001,8249,8603,0.68359999999999999,0.34899999999999998,0.59289999999999998,0.7671,0.13250000000000001,6.2,21721.5,27000,12000,0.97000002900000004,0.50999998999999996,21,77212.89,70233.5,6.1399998660000001,401,5239,39200,36100,43.586742,-84.774813
University of North Carolina at Greensboro,3,4,Public,Southeast,Large City,0.60019999999999996,14138,17362,23,1029,0.57520000000000004,0.25459999999999999,6.3E-2,4.3099999999999999E-2,3.7000000000000002E-3,1.1000000000000001E-3,3.8699999999999998E-2,1.7399999999999999E-2,0.1265,8803,7926,0.82099999999999995,0.44319999999999998,0.55410000000000004,0.73860000000000003,0.19570000000000001,7.5,16000,22500,9500,0.93000000699999996,0.58999997400000004,21.559999470000001,62041.39,50195,7.5399999619999996,319,3143,35300,33300,36.06560446,-79.813056
San Jose State University,3,4,Public,Far West,Large City,0.63470000000000004,25723,21160,22,1030,0.22539999999999999,3.5099999999999999E-2,0.23830000000000001,0.35610000000000003,1.4E-3,7.9000000000000008E-3,5.2200000000000003E-2,4.53E-2,0.1925,8070,9155,0.40210000000000001,0.39550000000000002,0.48089999999999999,0.87819999999999998,0.1993,4.8,14000,16251,11000,0.689999998,0.74000001000000004,22.549999239999998,43366.3,27853.5,6.9800000190000002,575,4353,52000,48100,37.33750869,-121.8804585
Washington State University,3,4,Public,Far West,Distant Town,0.82079999999999997,22825,26292,22,1030,0.66479999999999995,3.3099999999999997E-2,0.1065,5.2600000000000001E-2,6.3E-3,4.1999999999999997E-3,6.8599999999999994E-2,4.2599999999999999E-2,0.11260000000000001,9130,8547,0.7903,0.33229999999999998,0.65480000000000005,0.79769999999999996,0.16930000000000001,4,15736,20977,11250,0.939999998,0.519999981,22.659999849999998,70810.850000000006,58238.5,7.7300000190000002,599,5682,48200,43700,46.730448,-117.158168
