College,Predominant Degree,Highest Degree,Control,Region,Locale,Admission Rate,Undergrad Population,Average Cost,ACT Median,SAT Average,% White,% Black,% Hispanic,% Asian,% American Indian,% Pacific Islander,% Biracial,% Nonresident Aliens,% Part-time Undergrads,Expenditure Per Student,Average Faculty Salary,% Full-time Faculty,% Undergrads with Pell Grant,Completion Rate 150% time,Retention Rate (First Time Students),% Undergrads 25+ y.o.,3 Year Default Rate,Median Debt,Median Debt on Graduation,Median Debt on Withdrawal,% Federal Loans,% Pell Grant Recipients,Average Age of Entry,Average Family Income,Median Family Income,Poverty Rate,Number of Unemployed 8 years after entry,Number of Employed 8 years after entry,Mean Earnings 8 years After Entry,Median Earnings 8 years After Entry,LATITUDE,LONGITUDE
Southern Illinois University-Edwardsville,3,4,Public,Great Lakes,Large Suburb,0.84189999999999998,11179,21137,23,1050,0.74570000000000003,0.1452,3.6200000000000003E-2,1.5299999999999999E-2,2.3E-3,1.2999999999999999E-3,2.8899999999999999E-2,9.5999999999999992E-3,0.14630000000000001,12487,7859,0.7077,0.35649999999999998,0.50409999999999999,0.69299999999999995,0.1399,6,14317,22500,9500,0.91000002599999996,0.50999998999999996,21.540000920000001,64774.34,56221,7.1399998660000001,277,3209,42200,37800,38.793949,-89.997779
South Dakota State University,3,4,Public,Great Plains,Remote Town,0.91900000000000004,10048,18547,23,1050,0.90359999999999996,1.61E-2,1.8100000000000002E-2,9.1999999999999998E-3,8.9999999999999993E-3,1.5E-3,1.77E-2,2.1999999999999999E-2,0.14199999999999999,7415,7451,0.81579999999999997,0.27160000000000001,0.55659999999999998,0.75890000000000002,0.13370000000000001,4.2,15269,25000,9250,0.980000019,0.47999998900000002,20.920000080000001,68399.37,63089,7.0900001530000001,191,3464,42600,38200,44.31942,-96.783415
Ball State University,3,4,Public,Great Lakes,Small City,0.60540000000000005,15985,21101,22,1053,0.83169999999999999,6.7299999999999999E-2,3.4799999999999998E-2,8.2000000000000007E-3,8.9999999999999998E-4,8.9999999999999998E-4,1.95E-2,2.18E-2,6.1600000000000002E-2,9700,7305,0.82489999999999997,0.3463,0.59379999999999999,0.78380000000000005,7.1499999999999994E-2,8.1,18686,25000,9500,0.94999998799999996,0.44999998800000002,20.559999470000001,78230.63,73544,5.7600002290000001,388,5112,37800,35800,40.19996994,-85.40877746
Rutgers University-Newark,3,4,Public,Mid-Atlantic,Large City,0.54010000000000002,6748,22046,0,1059,0.25700000000000001,0.1867,0.2447,0.2208,1.1999999999999999E-3,4.8999999999999998E-3,2.92E-2,3.1300000000000001E-2,0.13689999999999999,15947,12617,0.59830000000000005,0.4637,0.67520000000000002,0.74219999999999997,0.2213,5.2,19500,22250,13000,0.93000000699999996,0.5,20.979999540000001,76131.149999999994,59041,6.0199999809999998,1048,10583,55700,50300,40.74190246,-74.17492232
Georgia State University,3,4,Public,Southeast,Large City,0.54659999999999997,24128,23124,23,1060,0.31380000000000002,0.39700000000000002,8.9499999999999996E-2,0.1135,1.6999999999999999E-3,1.1000000000000001E-3,4.3400000000000001E-2,1.6299999999999999E-2,0.2429,7273,7149,0.97219999999999995,0.50890000000000002,0.53149999999999997,0.82320000000000004,0.2258,8.5,17070,23000,12500,0.87000000499999997,0.66000002599999996,22.56999969,53412.71,38306,7.7800002099999999,645,4915,40500,37500,33.75269954,-84.3866698
West Virginia University,3,4,Public,Southeast,Small City,0.85099999999999998,22130,16898,24,1062,0.82709999999999995,4.4600000000000001E-2,3.5400000000000001E-2,1.5800000000000002E-2,1.9E-3,8.9999999999999998E-4,3.04E-2,4.0899999999999999E-2,4.9799999999999997E-2,11544,9237,0.76790000000000003,0.26629999999999998,0.57440000000000002,0.77070000000000005,6.9800000000000001E-2,10.5,14625,23808,9500,0.93000000699999996,0.49000000999999999,20.420000080000001,78406.720000000001,69116,9.1599998469999999,514,5826,43600,38700,39.63468,-79.953926
The University of West Florida,3,4,Public,Southeast,Small City,0.48080000000000001,9906,18158,24,1062,0.67410000000000003,0.12640000000000001,8.8900000000000007E-2,2.9700000000000001E-2,7.3000000000000001E-3,3.8E-3,4.3999999999999997E-2,1.54E-2,0.2465,5710,7392,1,0.41020000000000001,0.42320000000000002,0.70030000000000003,0.2984,9.6999999999999993,12500,18334,11000,0.81999999300000004,0.63999998599999997,23.739999770000001,47671.85,34467,9.2799997330000004,319,2217,36200,33400,30.54917485,-87.21844861
University of South Alabama,3,4,Public,Southeast,Mid-size City,0.86040000000000005,11048,17125,23,1064,0.63739999999999997,0.22900000000000001,2.46E-2,3.3700000000000001E-2,8.8000000000000005E-3,1.8E-3,2.2599999999999999E-2,2.8400000000000002E-2,0.20760000000000001,10325,7212,0.64180000000000004,0.37430000000000002,0.3342,0.67869999999999997,0.23430000000000001,7.1,15000,25000,9500,0.89999997600000003,0.63999998599999997,23.690000529999999,45401.94,30958,12.5,413,2802,39900,34400,30.69508117,-88.18189048
University of North Carolina at Charlotte,3,4,Public,Southeast,Large City,0.68520000000000003,21400,17767,23,1066,0.61350000000000005,0.1666,7.4300000000000005E-2,5.04E-2,3.8E-3,1.4E-3,3.2599999999999997E-2,2.46E-2,0.1447,8855,8337,0.72109999999999996,0.40460000000000002,0.53900000000000003,0.80379999999999996,0.18840000000000001,6.2,16500,23005,10166.5,0.920000017,0.560000002,21.909999849999998,64318,51983,6.7699999809999998,435,4073,42600,38300,35.30683411,-80.73579017
Kennesaw State University,3,4,Public,Southeast,Large Suburb,0.56540000000000001,22211,20630,23,1068,0.629,0.1769,7.22E-2,3.3000000000000002E-2,2.2000000000000001E-3,1.5E-3,3.7900000000000003E-2,1.89E-2,0.24859999999999999,6179,6252,0.56379999999999997,0.41789999999999999,0.43380000000000002,0.75639999999999996,0.25180000000000002,8.6,15000,22500,11000,0.87000000499999997,0.579999983,24.510000229999999,57729.39,41150.5,5.0599999430000002,424,3115,39800,37200,34.03813476,-84.58311748
University of Colorado Colorado Springs,3,4,Public,Rocky Mountains,Large City,0.91,8888,16707,23,1068,0.68540000000000001,3.7499999999999999E-2,0.14119999999999999,3.27E-2,5.4999999999999997E-3,3.3E-3,5.7700000000000001E-2,8.6E-3,0.2185,6820,7285,0.53549999999999998,0.32219999999999999,0.45979999999999999,0.7137,0.24049999999999999,2.7,12500,21000,8250,0.89999997600000003,0.540000021,22.870000839999999,61852.58,48420,5.4000000950000002,285,1704,41300,37300,38.8927346,-104.800296
The University of Tennessee-Chattanooga,3,4,Public,Southeast,Mid-size City,0.77569999999999995,10184,19192,23,1069,0.74109999999999998,0.1137,3.2099999999999997E-2,1.7000000000000001E-2,2.3999999999999998E-3,1E-3,7.7700000000000005E-2,6.7000000000000002E-3,0.112,7034,7477,0.63180000000000003,0.35270000000000001,0.37140000000000001,0.69120000000000004,0.129,8.9,11420.5,20500,7112.5,0.86000001400000003,0.60000002399999997,21.479999540000001,56874.59,43600,9.4799995419999998,179,1865,36100,33300,35.04824726,-85.29981228
SUNY College at Brockport,3,4,Public,Mid-Atlantic,Fringe Town,0.47739999999999999,7040,19511,24,1069,0.74350000000000005,7.8299999999999995E-2,4.7699999999999999E-2,1.38E-2,2.5999999999999999E-3,4.0000000000000002E-4,1.9900000000000001E-2,7.4999999999999997E-3,8.9499999999999996E-2,11538,7181,0.56869999999999998,0.40810000000000002,0.66759999999999997,0.80789999999999995,0.15770000000000001,5.6,17750,21500,17304,0.959999979,0.519999981,21.450000760000002,68780.73,62559,7.0900001530000001,179,2662,39900,37600,43.21185142,-77.95150829
California State Polytechnic University-Pomona,3,4,Public,Far West,Large Suburb,0.52180000000000004,20857,19402,23,1070,0.21590000000000001,3.2300000000000002E-2,0.37219999999999998,0.25009999999999999,2E-3,2.8E-3,3.9E-2,4.2500000000000003E-2,0.1186,7355,9101,0.48820000000000002,0.44040000000000001,0.52370000000000005,0.89970000000000006,0.17469999999999999,3.8,15703.5,18001,11691,0.689999998,0.74000001000000004,21.739999770000001,46768.74,30962,11.09000015,433,3946,48100,45000,34.05427317,-117.819019
Oakland University,3,4,Public,Great Lakes,Large Suburb,0.66,16113,19198,23,1070,0.76629999999999998,8.2699999999999996E-2,2.76E-2,4.19E-2,3.3E-3,1.1999999999999999E-3,2.4299999999999999E-2,1.11E-2,0.2427,7570,8482,0.5282,0.2034,0.42949999999999999,0.78139999999999998,0.20599999999999999,6.2,18250,25000,12270,0.939999998,0.5,22.190000529999999,68721.789999999994,56986,5.7399997709999999,291,2518,41500,37900,42.674569,-83.216414
University of Louisiana at Lafayette,3,4,Public,Southeast,Mid-size City,0.59299999999999997,14261,15342,23,1070,0.68420000000000003,0.21299999999999999,3.1600000000000003E-2,1.9300000000000001E-2,4.3E-3,8.0000000000000004E-4,1.5800000000000002E-2,2.1999999999999999E-2,0.13930000000000001,4963,7568,0.81299999999999994,0.34050000000000002,0.44819999999999999,0.74260000000000004,0.15740000000000001,9.3000000000000007,13000,20898,9500,0.81999999300000004,0.68000000699999996,21.459999079999999,50339.7,35091,15.47999954,437,3486,38800,34600,30.21528347,-92.0194105
University of Nebraska at Omaha,3,4,Public,Great Plains,Large City,0.70779999999999998,12153,16860,23,1070,0.72340000000000004,6.5199999999999994E-2,8.7099999999999997E-2,2.6700000000000002E-2,4.1999999999999997E-3,1.1999999999999999E-3,2.98E-2,3.15E-2,0.22270000000000001,7900,7860,0.49809999999999999,0.32519999999999999,0.42109999999999997,0.74760000000000004,0.2258,5.7,13631,21000,9200,0.91000002599999996,0.5,21.670000080000001,67569.73,57671,5.3600001339999999,220,2655,41700,38300,41.25794626,-96.00974096
University of Central Arkansas,3,4,Public,Southeast,Small City,0.89970000000000006,9261,17899,23,1070,0.66559999999999997,0.1867,3.61E-2,1.46E-2,5.7000000000000002E-3,1.1000000000000001E-3,2.7199999999999998E-2,3.3099999999999997E-2,0.1106,6851,6434,0.75419999999999998,0.39369999999999999,0.42030000000000001,0.69769999999999999,0.1142,10.1,11864,21617,8912,0.89999997600000003,0.64999997600000003,21.100000380000001,53694.68,39480,11.22999954,342,2713,36300,33300,35.07819638,-92.45930978
University of Idaho,3,4,Public,Rocky Mountains,Fringe Rural,0.65649999999999997,8539,19700,23,1070,0.79679999999999995,1.0500000000000001E-2,8.3699999999999997E-2,1.43E-2,8.8000000000000005E-3,2.2000000000000001E-3,3.09E-2,3.3700000000000001E-2,6.59E-2,10938,7986,0.78859999999999997,0.39850000000000002,0.53810000000000002,0.78610000000000002,0.13750000000000001,8.3000000000000007,18550,25000,12100,0.939999998,0.62000000499999997,21.459999079999999,64677.72,51484,8.2700004580000002,303,2455,41000,35800,46.72689377,-117.0242962
Winona State University,3,4,Public,Great Plains,Distant Town,0.60750000000000004,8079,20449,23,1070,0.87939999999999996,2.1000000000000001E-2,2.5000000000000001E-2,1.9699999999999999E-2,1E-3,6.9999999999999999E-4,1.83E-2,2.4500000000000001E-2,0.1011,6161,7570,0.63480000000000003,0.26850000000000002,0.56459999999999999,0.78300000000000003,0.1162,4.4000000000000004,18288,24000,9221,0.959999979,0.40000000600000002,20.709999079999999,82392.179999999993,80304,4.2399997709999999,137,2527,41200,39000,44.04657217,-91.64447029
Tennessee Technological University,3,4,Public,Southeast,Remote Town,0.93159999999999998,9827,19900,23,1071,0.82289999999999996,3.7100000000000001E-2,2.4E-2,1.2E-2,1.8E-3,4.0000000000000002E-4,2.3E-2,7.4700000000000003E-2,7.1599999999999997E-2,6916,7551,1,0.3695,0.50639999999999996,0.74580000000000002,0.12559999999999999,8.6999999999999993,11000,15625,7000,0.85000002399999997,0.62000000499999997,21.729999540000001,58081.46,45109,10.130000109999999,208,1982,37800,34400,36.17465917,-85.50395686
University of New Orleans,3,4,Public,Southeast,Large City,0.50360000000000005,6854,16212,23,1072,0.56259999999999999,0.15479999999999999,9.8799999999999999E-2,7.7899999999999997E-2,4.4999999999999997E-3,5.9999999999999995E-4,2.7400000000000001E-2,3.1699999999999999E-2,0.22570000000000001,8079,7448,0.73029999999999995,0.32019999999999998,0.32140000000000002,0.67479999999999996,0.30499999999999999,9,11750,17821,8500,0.769999981,0.74000001000000004,22.299999239999998,40387.97,27630.5,14,451,3190,37600,32900,30.02853897,-90.06850599
University of Colorado Denver,3,4,Public,Rocky Mountains,Large City,0.75870000000000004,10470,18822,23,1073,0.51990000000000003,4.9599999999999998E-2,0.1547,9.6299999999999997E-2,4.7999999999999996E-3,1.4E-3,3.3700000000000001E-2,9.8100000000000007E-2,0.25890000000000002,25568,9364,0.67230000000000001,0.2777,0.41289999999999999,0.75209999999999999,0.25069999999999998,5,16750,22995,11368,0.89999997600000003,0.49000000999999999,24.68000031,51853.53,36176,5.5999999049999998,332,2205,60300,50100,39.74521411,-104.8393446
The University of Tampa,3,4,Private,Southeast,Large City,0.52210000000000001,6476,37714,24,1075,0.59230000000000005,5.7599999999999998E-2,0.12,1.34E-2,1.9E-3,1.1999999999999999E-3,2.3599999999999999E-2,0.10390000000000001,4.5100000000000001E-2,6103,8424,1,0.24729999999999999,0.6159,0.751,7.2499999999999995E-2,6.7,17550.5,25975,8580,0.959999979,0.41999998700000002,21.010000229999999,81805.23,66421,6.1999998090000004,159,1426,44000,40200,27.94722527,-82.46558244
University of Rhode Island,3,4,Public,New England,Large Suburb,0.78710000000000002,13008,26262,24,1076,0.69299999999999995,4.9599999999999998E-2,8.6300000000000002E-2,3.0099999999999998E-2,2.5000000000000001E-3,2.9999999999999997E-4,2.3099999999999999E-2,7.1000000000000004E-3,9.8400000000000001E-2,7446,9144,0.5907,0.26740000000000003,0.63439999999999996,0.81279999999999997,8.6499999999999994E-2,7.3,19500,23250,9500,0.94999998799999996,0.40000000600000002,20.659999849999998,88579.08,78122.5,6.9099998469999999,240,3291,49200,44600,41.489334,-71.528708
The University of Texas at Arlington,3,4,Public,Southwest,Large City,0.5998,25415,21420,23,1077,0.39639999999999997,0.14699999999999999,0.25559999999999999,0.1177,2.8999999999999998E-3,2.2000000000000001E-3,3.2300000000000002E-2,3.9100000000000003E-2,0.37409999999999999,6782,8272,0.63429999999999997,0.40389999999999998,0.40410000000000001,0.70830000000000004,0.35260000000000002,7.3,12834,19608,9738,0.88999998599999997,0.62000000499999997,23.219999309999999,51136.11,36358,8.2399997710000008,631,5991,46100,42900,32.72919367,-97.11517266
University of Arkansas at Little Rock,3,4,Public,Southeast,Mid-size City,0.52739999999999998,8504,19894,24,1077,0.5514,0.2656,6.2300000000000001E-2,2.3E-2,3.3E-3,4.0000000000000002E-4,6.4199999999999993E-2,2.93E-2,0.38129999999999997,7292,7480,1,0.4027,0.24379999999999999,0.69730000000000003,0.40620000000000001,10.5,14250,23000,10500,0.920000017,0.74000001000000004,25.13999939,37463.78,26332.5,10.960000040000001,432,2414,34600,31600,34.72347932,-92.34057389
University of California-Riverside,3,4,Public,Far West,Large City,0.62,18612,29787,23,1078,0.14419999999999999,4.87E-2,0.3589,0.36149999999999999,1.6000000000000001E-3,3.8999999999999998E-3,3.5400000000000001E-2,3.15E-2,2.23E-2,10473,11324,0.82399999999999995,0.56399999999999995,0.66169999999999995,0.88980000000000004,4.7300000000000002E-2,6.1,17000,19500,10379,0.86000001400000003,0.69999998799999996,20.079999919999999,57708.66,43078.5,11.289999959999999,479,3984,43800,41100,33.9745475,-117.3287661
Towson University,3,4,Public,Mid-Atlantic,Small City,0.60340000000000005,18534,21596,23,1078,0.65210000000000001,0.15260000000000001,5.21E-2,4.7800000000000002E-2,1.8E-3,8.9999999999999998E-4,3.49E-2,2.0299999999999999E-2,0.10920000000000001,5906,6670,0.53,0.24979999999999999,0.65500000000000003,0.86029999999999995,0.11260000000000001,5.2,15750,19000,9250,0.93000000699999996,0.40999999599999998,20.88999939,82801.58,71279.5,4.9800000190000002,241,3441,47700,45700,39.3930079,-76.61226756
Savannah College of Art and Design,3,4,Private,Southeast,Mid-size City,0.65469999999999995,8750,49179,24,1078,0.5605,0.1086,8.0500000000000002E-2,4.3999999999999997E-2,5.5999999999999999E-3,2.3E-3,2.3E-3,0.1168,0.16209999999999999,10302,8024,0.7974,0.2601,0.68300000000000005,0.80710000000000004,0.1007,8.6999999999999993,21521.5,27000,9500,0.980000019,0.41999998700000002,20.459999079999999,95838.42,78907,7.0199999809999998,224,1637,35800,29700,32.07743947,-81.1002344
University of Nevada-Reno,3,4,Public,Far West,Mid-size City,0.83960000000000001,15310,21398,24,1081,0.64600000000000002,3.5400000000000001E-2,0.16309999999999999,6.5600000000000006E-2,7.9000000000000008E-3,5.7000000000000002E-3,5.9799999999999999E-2,1.23E-2,0.15620000000000001,14946,9233,0.92810000000000004,0.28839999999999999,0.51390000000000002,0.79890000000000005,0.15010000000000001,5.0999999999999996,12000,18743.5,8120,0.86000001400000003,0.52999997099999996,23.059999470000001,61238.62,45534,6.3800001139999996,238,1968,47000,41800,39.54364169,-119.8153769
Howard University,3,4,Private,Mid-Atlantic,Large City,0.49299999999999999,6855,40129,24,1081,1.34E-2,0.91830000000000001,3.5999999999999999E-3,1.2999999999999999E-2,1.9699999999999999E-2,3.8999999999999998E-3,0,2.8000000000000001E-2,6.13E-2,22191,8566,0.74950000000000006,0.44940000000000002,0.60650000000000004,0.81540000000000001,8.5999999999999993E-2,11.6,24250,27000,15750,0.94999998799999996,0.579999983,20.969999309999999,63421.37,47531,10.55000019,166,1712,46400,42400,38.92073881,-77.01947807
University of Southern Mississippi,3,4,Public,Southeast,Small City,0.66310000000000002,12371,18781,24,1082,0.60950000000000004,0.31780000000000003,3.2300000000000002E-2,1.2200000000000001E-2,4.0000000000000001E-3,1E-3,1.67E-2,6.1999999999999998E-3,0.1246,7858,7109,0.75600000000000001,0.46439999999999998,0.45129999999999998,0.71619999999999995,0.22159999999999999,12,16600,25000,12641,0.920000017,0.69999998799999996,22.63999939,44439.03,29062,14.43999958,487,4215,37700,33200,31.327499,-89.33791
SUNY at Purchase College,3,4,Public,Mid-Atlantic,Large Suburb,0.33189999999999997,4017,22381,24,1082,0.57379999999999998,8.0199999999999994E-2,0.1847,3.2399999999999998E-2,2E-3,6.9999999999999999E-4,4.3099999999999999E-2,1.9699999999999999E-2,5.4300000000000001E-2,10361,7092,0.39489999999999997,0.31780000000000003,0.59709999999999996,0.82399999999999995,9.7699999999999995E-2,6.2,19750,23250,9500,0.939999998,0.5,20.61000061,78438.02,63153,8.4799995419999998,159,1111,33800,30900,41.04922447,-73.70193589
Indiana Wesleyan University,3,4,Private,Great Lakes,Distant Town,0.95150000000000001,10625,33770,24,1083,0.76239999999999997,0.1762,2.9899999999999999E-2,7.1999999999999998E-3,3.7000000000000002E-3,1E-3,1.6E-2,1.4E-3,9.8299999999999998E-2,3954,6853,1,0.39029999999999998,0.65500000000000003,0.77759999999999996,0.69189999999999996,6.1,21500,24806.5,12125,0.97000002900000004,0.40000000600000002,31.170000080000001,69016.27,61954.5,6.2699999809999998,311,3539,51100,45100,40.5184948,-85.66199126
University of Maine,3,4,Public,New England,Small Suburb,0.81059999999999999,8619,22461,24,1085,0.81189999999999996,2.01E-2,2.2200000000000001E-2,1.38E-2,1.2999999999999999E-2,2.0000000000000001E-4,2.6200000000000001E-2,2.53E-2,8.6400000000000005E-2,10058,8755,0.63719999999999999,0.37180000000000002,0.55559999999999998,0.80659999999999998,9.9099999999999994E-2,6.3,19200.5,27000,11000,0.959999979,0.5,20.770000459999999,68984.850000000006,60423,7.7899999619999996,217,2813,41100,36500,44.899257,-68.669332
Arizona State University-Downtown Phoenix,3,4,Public,Southwest,Large City,0.75700000000000001,8555,22909,24,1085,0.54759999999999998,0.06,0.27010000000000001,4.5600000000000002E-2,2.4299999999999999E-2,2.7000000000000001E-3,3.2800000000000003E-2,1.1599999999999999E-2,0.11459999999999999,9165,8746,0.85609999999999997,0.42449999999999999,0.47320000000000001,0.84079999999999999,0.1986,8.5,16250,20375,11000,0,0,0,0,0,0,0,0,0,0,33.45283,-112.073581
University of Illinois at Springfield,3,4,Public,Great Lakes,Mid-size City,0.59770000000000001,2959,21385,24,1085,0.67730000000000001,0.1338,5.9499999999999997E-2,3.6799999999999999E-2,1.4E-3,1E-3,2.47E-2,2.9100000000000001E-2,0.34370000000000001,10685,7464,0.60660000000000003,0.36770000000000003,0.43080000000000002,0.74350000000000005,0.4123,6.6,15000,19498,11129,0.88999998599999997,0.55000001200000004,25.209999079999999,54554.28,42542.5,7.5300002099999999,68,793,42700,40000,39.72986182,-89.61491653
Utah State University,3,4,Public,Rocky Mountains,Small City,0.96740000000000004,20775,16020,24,1087,0.80030000000000001,1.03E-2,5.11E-2,9.7000000000000003E-3,2.2700000000000001E-2,2.3999999999999998E-3,1.6799999999999999E-2,2.1399999999999999E-2,0.2707,8255,8206,0.9627,0.35949999999999999,0.51090000000000002,0.65769999999999995,0.23899999999999999,5.7,8750,13500,6500,0.709999979,0.790000021,23.36000061,44547.68,29227,7.3899998660000001,1096,4230,41700,37300,41.740748,-111.81391
University of California-Santa Cruz,3,4,Public,Far West,Small City,0.59909999999999997,15695,33208,23,1087,0.36799999999999999,2.01E-2,0.3019,0.20469999999999999,1.6999999999999999E-3,1.5E-3,6.9800000000000001E-2,1.0800000000000001E-2,2.3699999999999999E-2,8338,12110,0.70979999999999999,0.44590000000000002,0.72670000000000001,0.88790000000000002,4.4699999999999997E-2,5.7,16500,19737.5,11000,0.93000000699999996,0.55000001200000004,20.280000690000001,73778.36,58508,7.9800000190000002,383,2819,42200,37800,36.99901842,-122.0607261
University of Hawaii at Manoa,3,4,Public,Far West,Large City,0.80089999999999995,14097,18491,24,1087,0.18340000000000001,1.23E-2,8.7400000000000005E-2,0.4042,2.0999999999999999E-3,3.8899999999999997E-2,0.24629999999999999,2.3800000000000002E-2,0.16139999999999999,17768,10360,0.77769999999999995,0.30859999999999999,0.56510000000000005,0.77869999999999995,0.17549999999999999,5.0999999999999996,13750,19509,8250,0.85000002399999997,0.560000002,22.329999919999999,54876.85,39485,7.1999998090000004,400,2956,43100,38500,21.29732382,-157.816202
Arkansas State University-Main Campus,3,4,Public,Southeast,Small City,0.75509999999999999,9325,18809,24,1088,0.73019999999999996,0.14660000000000001,2.0299999999999999E-2,7.4999999999999997E-3,3.8999999999999998E-3,5.9999999999999995E-4,1.66E-2,6.0400000000000002E-2,0.18959999999999999,5002,6957,0.74299999999999999,0.46179999999999999,0.36980000000000002,0.73119999999999996,0.224,14.6,13300,20959,9750,0.85000002399999997,0.77999997099999996,23.979999540000001,38618.99,27550,13.39000034,704,4120,32300,29100,35.84363421,-90.6778724
Wichita State University,3,4,Public,Great Plains,Large City,0.95760000000000001,11198,14764,24,1089,0.65159999999999996,5.9700000000000003E-2,9.1399999999999995E-2,6.9500000000000006E-2,8.8000000000000005E-3,1.6000000000000001E-3,2.53E-2,5.6099999999999997E-2,0.23499999999999999,6594,7568,0.92230000000000001,0.35949999999999999,0.4637,0.74490000000000001,0.2883,7.8,15250,21750,11000,0.920000017,0.579999983,23.88999939,52548.32,41686,6.9000000950000002,386,2950,39500,36400,37.71630554,-97.29737545
Louisiana Tech University,3,4,Public,Southeast,Distant Town,0.6744,7047,16983,24,1089,0.68230000000000002,0.15060000000000001,1.3899999999999999E-2,9.9000000000000008E-3,4.7999999999999996E-3,1.1000000000000001E-3,1.4500000000000001E-2,4.4400000000000002E-2,0.10979999999999999,5668,7055,0.8468,0.2218,0.49340000000000001,0.78639999999999999,0.1507,7.5,13632.5,20984.5,8583,0.87000000499999997,0.61000001400000003,21.489999770000001,57506.42,43568,14.579999920000001,277,2366,43300,37500,32.52551805,-92.64963973
San Diego State University,3,4,Public,Far West,Large City,0.31209999999999999,26625,20252,24,1090,0.37190000000000001,3.8399999999999997E-2,0.29459999999999997,0.14000000000000001,2.7000000000000001E-3,3.5000000000000001E-3,5.9900000000000002E-2,4.0899999999999999E-2,0.1046,6797,9229,0.54039999999999999,0.39560000000000001,0.66159999999999997,0.87749999999999995,0.1651,5.2,14495,16460,11004.5,0.81999999300000004,0.62999999500000003,21.989999770000001,57515.91,37534,9.4799995419999998,711,6425,47300,44000,32.7752498,-117.0712279
Grand Valley State University,3,4,Public,Great Lakes,Large Suburb,0.82599999999999996,21137,21512,24,1090,0.83509999999999995,5.3999999999999999E-2,4.3099999999999999E-2,1.9300000000000001E-2,4.1999999999999997E-3,4.0000000000000002E-4,2.6100000000000002E-2,1.2699999999999999E-2,0.11600000000000001,7728,7816,0.66339999999999999,0.36320000000000002,0.69499999999999995,0.8165,9.9199999999999997E-2,5.0999999999999996,20898.5,26500,12000,0.959999979,0.47999998900000002,20.799999239999998,78034.289999999994,72885.5,5.5100002290000001,426,5381,39600,36900,42.96520807,-85.88751859
Missouri State University-Springfield,3,4,Public,Great Plains,Mid-size City,0.85099999999999998,15746,19117,24,1090,0.81710000000000005,4.4600000000000001E-2,3.1300000000000001E-2,1.34E-2,5.1000000000000004E-3,1.6999999999999999E-3,0.03,4.1099999999999998E-2,0.1308,6697,7135,0.6633,0.31979999999999997,0.53369999999999995,0.75249999999999995,0.14119999999999999,7.9,15000,22375,10250,0.939999998,0.50999998999999996,21.579999919999999,69002.880000000005,57869.5,7.6399998660000001,449,4364,37300,34100,37.19798324,-93.2768213
The University of Montana,3,4,Public,Rocky Mountains,Small City,0.94230000000000003,11630,17440,24,1090,0.80449999999999999,7.6E-3,3.9100000000000003E-2,1.1900000000000001E-2,3.0800000000000001E-2,2.0999999999999999E-3,3.9100000000000003E-2,1.9300000000000001E-2,0.1933,7041,9948,0.68240000000000001,0.39119999999999999,0.4708,0.73440000000000005,0.2651,10.199999999999999,15259.5,24776.5,11326.5,0.94999998799999996,0.62000000499999997,23.040000920000001,53798.720000000001,36634,9.8400001530000001,467,3806,36200,30900,46.861074,-113.98294
University of North Dakota,3,4,Public,Great Plains,Small City,0.73699999999999999,11182,20538,24,1090,0.81520000000000004,2.07E-2,2.5000000000000001E-2,1.3599999999999999E-2,1.7399999999999999E-2,8.9999999999999998E-4,2.5999999999999999E-2,5.3499999999999999E-2,0.16719999999999999,16008,8361,0.91669999999999996,0.2087,0.55289999999999995,0.75019999999999998,0.17319999999999999,3.6,16728,24500,10000,0.980000019,0.41999998700000002,20.989999770000001,78359.31,72841.5,7.3400001530000001,210,3576,47800,42600,47.921654,-97.071738
University of Missouri-St Louis,3,4,Public,Great Plains,Large Suburb,0.7419,8928,22474,24,1090,0.62060000000000004,0.192,2.4199999999999999E-2,4.4499999999999998E-2,3.7000000000000002E-3,1.6000000000000001E-3,1.6400000000000001E-2,3.4299999999999997E-2,0.35020000000000001,8703,8195,0.48849999999999999,0.30359999999999998,0.45669999999999999,0.75049999999999994,0.27760000000000001,8.6,18223,22000,14000,0.94999998799999996,0.55000001200000004,24.010000229999999,54750.66,37821,7.5700001720000003,333,2918,40800,37500,38.71129669,-90.30888608
University of South Dakota,3,4,Public,Great Plains,Distant Town,0.87880000000000003,6449,18843,24,1090,0.87190000000000001,2.0899999999999998E-2,3.3799999999999997E-2,1.21E-2,1.6400000000000001E-2,1.6999999999999999E-3,2.5600000000000001E-2,1.1900000000000001E-2,0.2712,8747,7200,0.76839999999999997,0.28760000000000002,0.55149999999999999,0.76490000000000002,0.221,6.4,15463,24000,10500,0.980000019,0.469999999,22.989999770000001,61219.519999999997,53346,7.3200001720000003,178,2467,40900,35900,42.78467617,-96.92653276
North Dakota State University-Main Campus,3,4,Public,Great Plains,Mid-size City,0.84099999999999997,11629,18277,24,1091,0.87580000000000002,2.4400000000000002E-2,1.41E-2,1.32E-2,6.7999999999999996E-3,4.0000000000000002E-4,1.77E-2,3.5999999999999997E-2,8.3199999999999996E-2,7707,8163,0.98719999999999997,0.22509999999999999,0.53080000000000005,0.78049999999999997,8.8800000000000004E-2,3.3,17000,25050,8250,0.980000019,0.43000000700000002,20.520000459999999,76035.12,71695,6.5900001530000001,182,3463,47900,41400,46.89452277,-96.80568852
